finding_id,route,portal,device_class,drift_category,affected_component,current_implementation,canonical_implementation,current_measured_value,required_canonical_value_or_token,source_file,line_or_component_reference,shared_root_cause,number_of_routes_affected,remediation_method,status,migration_evidence,screenshot_evidence,automated_test_reference,exception_reference,reviewer,verification_date
DRIFT-0058,/shop/fleet,Shop,desktop/tablet/mobile pending certification,coaching,FleetVisibility,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FleetVisibility,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0059,/field-leadership/portal/change-password,Field,desktop/tablet/mobile pending certification,coaching,FieldLeadershipPortalChangePassword,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipPortalChangePassword,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0060,/field-leadership/portal/dashboard,Field,desktop/tablet/mobile pending certification,coaching,FieldLeadershipPortalDashboard,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipPortalDashboard,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0061,/field-leadership/portal,Field,desktop/tablet/mobile pending certification,coaching,FieldLeadershipPortalDashboard,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipPortalDashboard,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0062,/safety-portal/fleet,Safety,desktop/tablet/mobile pending certification,coaching,FleetVisibility,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FleetVisibility,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0063,/dispatch-portal/fleet,Dispatch,desktop/tablet/mobile pending certification,coaching,FleetVisibility,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FleetVisibility,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0064,/admin/deploy-readiness,Admin,desktop/tablet/mobile pending certification,coaching,AdminDeployReadiness,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AdminDeployReadiness,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0065,/safety/forms/equipment-issuance/:id,Safety,desktop/tablet/mobile pending certification,tables,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0066,/safety/forms/equipment-training/:id,Safety,desktop/tablet/mobile pending certification,tables,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0067,/leadership/records/:id,Shared/Public,desktop/tablet/mobile pending certification,tables,FieldLeadershipView,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipView,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0068,/safety/cases/:caseId/reports/:reportType,Safety,desktop/tablet/mobile pending certification,tables,IncidentReportViewer,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,IncidentReportViewer,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0069,/safety/cases/:caseId/executive-report,Safety,desktop/tablet/mobile pending certification,tables,ExecutiveCaseReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ExecutiveCaseReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0070,/admin/scheduler-runs,Admin,desktop/tablet/mobile pending certification,tables,AdminSchedulerRuns,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AdminSchedulerRuns,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0071,/admin/leadership-equipment,Admin,desktop/tablet/mobile pending certification,tables,AdminLeadershipEquipment,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AdminLeadershipEquipment,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0072,/admin/terminations,Admin,desktop/tablet/mobile pending certification,tables,AdminTerminations,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AdminTerminations,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0073,/admin/guide,Admin,desktop/tablet/mobile pending certification,tables,AdminGuide,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AdminGuide,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0074,/admin/pnl,Admin,desktop/tablet/mobile pending certification,tables,ProjectPnlPage,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ProjectPnlPage,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0075,/admin/daily/:id,Admin,desktop/tablet/mobile pending certification,tables,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0076,/admin/leadership/records/:id,Admin,desktop/tablet/mobile pending certification,tables,FieldLeadershipView,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldLeadershipView,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0077,/admin/safety/issuance/:id,Admin,desktop/tablet/mobile pending certification,tables,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0078,/admin/safety/training/:id,Admin,desktop/tablet/mobile pending certification,tables,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0079,/admin/executive-operational-intelligence,Admin,desktop/tablet/mobile pending certification,tables,ExecutiveOperationalIntelligence,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ExecutiveOperationalIntelligence,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0080,/pm/daily/:id,PM,desktop/tablet/mobile pending certification,tables,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0081,/hr/daily-reports/:id,HR,desktop/tablet/mobile pending certification,tables,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0082,/dev,Shared/Public,desktop/tablet/mobile pending certification,tables,DevHub,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,DevHub,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0083,/pm/operational-intelligence,PM,desktop/tablet/mobile pending certification,tables,PmOperationalIntelligence,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,PmOperationalIntelligence,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0084,/safety/cards,Safety,desktop/tablet/mobile pending certification,navigation,FieldSafetyCards,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldSafetyCards,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0085,/transport-invite/:token,Shared/Public,desktop/tablet/mobile pending certification,navigation,transportation/ExternalCarrierInvite,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,transportation/ExternalCarrierInvite,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0086,/transport-verify/:cnum,Shared/Public,desktop/tablet/mobile pending certification,navigation,transportation/CertificateVerify,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,transportation/CertificateVerify,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0087,/admin/daily/:id,Admin,desktop/tablet/mobile pending certification,navigation,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0088,/pm/daily/:id,PM,desktop/tablet/mobile pending certification,navigation,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0089,/hr/daily-reports/:id,HR,desktop/tablet/mobile pending certification,navigation,ViewDailyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewDailyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0090,/safety/cards,Safety,desktop/tablet/mobile pending certification,spacing,FieldSafetyCards,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldSafetyCards,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0091,/transport-invite/:token,Shared/Public,desktop/tablet/mobile pending certification,typography,transportation/ExternalCarrierInvite,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,transportation/ExternalCarrierInvite,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0092,/safety/cases/:caseId/reports/:reportType,Safety,desktop/tablet/mobile pending certification,typography,IncidentReportViewer,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,IncidentReportViewer,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0093,/admin/scheduler-runs,Admin,desktop/tablet/mobile pending certification,typography,AdminSchedulerRuns,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,AdminSchedulerRuns,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
