proof_id,truth_surface_loc,route,concept,expected_canonical_state,reason_deferred,post_save_test,status
BP-0072,frontend/src/pages/shop/ServiceTruckReconciliationRecords.jsx:126,ServiceTruckReconciliationRecords,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ServiceTruckReconciliationRecords as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0073,frontend/src/pages/transportation/_lists.jsx:764,_lists,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load _lists as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0074,frontend/src/pages/transportation/_modals.jsx:338,_modals,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load _modals as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0075,frontend/src/pages/transportation/_views.jsx:366,_views,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load _views as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0076,frontend/src/pages/trench_safety/ExcavationOversight.jsx:178,ExcavationOversight,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load ExcavationOversight as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0077,frontend/src/pages/trench_safety/PublicExcavationForm.jsx:719,PublicExcavationForm,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PublicExcavationForm as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0078,frontend/src/pages/trench_safety/TrenchSafetyActions.jsx:483,TrenchSafetyActions,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyActions as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0079,frontend/src/pages/trench_safety/TrenchSafetyAssetDetail.jsx:186,TrenchSafetyAssetDetail,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyAssetDetail as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0080,frontend/src/pages/trench_safety/TrenchSafetyAssetsList.jsx:163,TrenchSafetyAssetsList,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyAssetsList as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0081,frontend/src/pages/trench_safety/TrenchSafetyPolish.jsx:297,TrenchSafetyPolish,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyPolish as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0082,frontend/src/pages/trench_safety/TrenchSafetyQrLanding.jsx:164,TrenchSafetyQrLanding,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyQrLanding as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0083,frontend/src/pages/trench_safety/TrenchSafetyReports.jsx:131,TrenchSafetyReports,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyReports as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0084,frontend/src/pages/trench_safety/TrenchSafetyReports.jsx:242,TrenchSafetyReports,compliance_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyReports as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0085,frontend/src/pages/trench_safety/TrenchSafetyReports.jsx:355,TrenchSafetyReports,utilization,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load TrenchSafetyReports as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
